trait1	trait2	ord.trait1	ord.trait2	p.value	BH	BH.NA	qual.pval
D_nC33	n33.i33	02.D_nC33	12.n33.i33	0.000721284	0.003043701	0.003043701	less_than_05
iso_ACL	pct_anteiso	06.iso_ACL	15.pct_anteiso	0.000716786	0.003043701	0.003043701	less_than_05
mindex	iso_ACL	14.mindex	06.iso_ACL	0.000896797	0.00362168	0.00362168	less_than_05
iso_ACL	mindex	06.iso_ACL	14.mindex	0.000896797	0.00362168	0.00362168	less_than_05
pct_iso	D_iC31	10.pct_iso	03.D_iC31	0.00124677	0.004848549	0.004848549	less_than_05
D_iC31	pct_iso	03.D_iC31	10.pct_iso	0.00124677	0.004848549	0.004848549	less_than_05
pct_iso	nalk_CPI	10.pct_iso	08.nalk_CPI	0.001313752	0.00492657	0.00492657	less_than_05
nalk_CPI	pct_iso	08.nalk_CPI	10.pct_iso	0.001313752	0.00492657	0.00492657	less_than_05
pct_anteiso	n33.i33	15.pct_anteiso	12.n33.i33	0.001660946	0.006013771	0.006013771	less_than_05
n33.i33	pct_anteiso	12.n33.i33	15.pct_anteiso	0.001660946	0.006013771	0.006013771	less_than_05
iso_CPI	D_iC31	09.iso_CPI	03.D_iC31	0.001886778	0.006603723	0.006603723	less_than_05
D_iC31	iso_CPI	03.D_iC31	09.iso_CPI	0.001886778	0.006603723	0.006603723	less_than_05
pct_iso	D_iC33	10.pct_iso	04.D_iC33	0.002337384	0.007916945	0.007916945	less_than_05
D_iC33	pct_iso	04.D_iC33	10.pct_iso	0.002337384	0.007916945	0.007916945	less_than_05
n33.i33	D_nC31	12.n33.i33	01.D_nC31	0.002481049	0.008140942	0.008140942	less_than_05
D_nC31	n33.i33	01.D_nC31	12.n33.i33	0.002481049	0.008140942	0.008140942	less_than_05
iso_CPI	D_nC31	09.iso_CPI	01.D_nC31	0.004702873	0.014523578	0.014523578	less_than_05
iso_CPI	D_nC33	09.iso_CPI	02.D_nC33	0.004680065	0.014523578	0.014523578	less_than_05
D_nC33	iso_CPI	02.D_nC33	09.iso_CPI	0.004680065	0.014523578	0.014523578	less_than_05
D_nC31	iso_CPI	01.D_nC31	09.iso_CPI	0.004702873	0.014523578	0.014523578	less_than_05
n31.i31	iso_ACL	11.n31.i31	06.iso_ACL	0.007725291	0.023175873	0.023175873	less_than_05
iso_ACL	n31.i31	06.iso_ACL	11.n31.i31	0.007725291	0.023175873	0.023175873	less_than_05
pct_anteiso	nalk_ACL	15.pct_anteiso	07.nalk_ACL	0.008453638	0.024656443	0.024656443	less_than_05
nalk_ACL	pct_anteiso	07.nalk_ACL	15.pct_anteiso	0.008453638	0.024656443	0.024656443	less_than_05
pct_anteiso	anteiso_ACL	15.pct_anteiso	05.anteiso_ACL	0.009617511	0.027292936	0.027292936	less_than_05
anteiso_ACL	pct_anteiso	05.anteiso_ACL	15.pct_anteiso	0.009617511	0.027292936	0.027292936	less_than_05
pct_iso	D_nC31	10.pct_iso	01.D_nC31	0.010974829	0.030325185	0.030325185	less_than_05
D_nC31	pct_iso	01.D_nC31	10.pct_iso	0.010974829	0.030325185	0.030325185	less_than_05
iso_CPI	anteiso_CPI	09.iso_CPI	13.anteiso_CPI	0.017637474	0.047485508	0.047485508	less_than_05
anteiso_CPI	iso_CPI	13.anteiso_CPI	09.iso_CPI	0.017637474	0.047485508	0.047485508	less_than_05
pct_iso	pct_anteiso	10.pct_iso	15.pct_anteiso	0.025255991	0.066296976	NA	NA
pct_anteiso	pct_iso	15.pct_anteiso	10.pct_iso	0.025255991	0.066296976	NA	NA
mindex	D_iC31	14.mindex	03.D_iC31	0.025945838	0.066446659	NA	NA
D_iC31	mindex	03.D_iC31	14.mindex	0.025945838	0.066446659	NA	NA
iso_ACL	D_iC31	06.iso_ACL	03.D_iC31	0.031970526	0.079926315	NA	NA
D_iC31	iso_ACL	03.D_iC31	06.iso_ACL	0.031970526	0.079926315	NA	NA
nalk_ACL	mindex	07.nalk_ACL	14.mindex	0.034407413	0.084018102	NA	NA
mindex	nalk_ACL	14.mindex	07.nalk_ACL	0.034407413	0.084018102	NA	NA
n31.i31	anteiso_CPI	11.n31.i31	13.anteiso_CPI	0.041034818	0.095747909	NA	NA
pct_iso	D_nC33	10.pct_iso	02.D_nC33	0.040147537	0.095747909	NA	NA
anteiso_CPI	n31.i31	13.anteiso_CPI	11.n31.i31	0.041034818	0.095747909	NA	NA
D_nC33	pct_iso	02.D_nC33	10.pct_iso	0.040147537	0.095747909	NA	NA
nalk_CPI	anteiso_ACL	08.nalk_CPI	05.anteiso_ACL	0.048858682	0.111525251	NA	NA
anteiso_ACL	nalk_CPI	05.anteiso_ACL	08.nalk_CPI	0.048858682	0.111525251	NA	NA
nalk_ACL	n31.i31	07.nalk_ACL	11.n31.i31	0.061248065	0.136830784	NA	NA
n31.i31	nalk_ACL	11.n31.i31	07.nalk_ACL	0.061248065	0.136830784	NA	NA
n33.i33	iso_ACL	12.n33.i33	06.iso_ACL	0.0626728	0.13709675	NA	NA
iso_ACL	n33.i33	06.iso_ACL	12.n33.i33	0.0626728	0.13709675	NA	NA
iso_ACL	anteiso_CPI	06.iso_ACL	13.anteiso_CPI	0.067759345	0.145198597	NA	NA
anteiso_CPI	iso_ACL	13.anteiso_CPI	06.iso_ACL	0.067759345	0.145198597	NA	NA
iso_ACL	D_iC33	06.iso_ACL	04.D_iC33	0.069206598	0.145333855	NA	NA
D_iC33	iso_ACL	04.D_iC33	06.iso_ACL	0.069206598	0.145333855	NA	NA
iso_CPI	anteiso_ACL	09.iso_CPI	05.anteiso_ACL	0.082148311	0.169128876	NA	NA
anteiso_ACL	iso_CPI	05.anteiso_ACL	09.iso_CPI	0.082148311	0.169128876	NA	NA
pct_iso	iso_ACL	10.pct_iso	06.iso_ACL	0.083796372	0.169204212	NA	NA
iso_ACL	pct_iso	06.iso_ACL	10.pct_iso	0.083796372	0.169204212	NA	NA
mindex	D_iC33	14.mindex	04.D_iC33	0.089808797	0.177923089	NA	NA
D_iC33	mindex	04.D_iC33	14.mindex	0.089808797	0.177923089	NA	NA
mindex	anteiso_ACL	14.mindex	05.anteiso_ACL	0.094503745	0.183757282	NA	NA
anteiso_ACL	mindex	05.anteiso_ACL	14.mindex	0.094503745	0.183757282	NA	NA
nalk_ACL	D_iC31	07.nalk_ACL	03.D_iC31	0.102158307	0.195029494	NA	NA
D_iC31	nalk_ACL	03.D_iC31	07.nalk_ACL	0.102158307	0.195029494	NA	NA
pct_anteiso	D_nC33	15.pct_anteiso	02.D_nC33	0.116247015	0.217963154	NA	NA
D_nC33	pct_anteiso	02.D_nC33	15.pct_anteiso	0.116247015	0.217963154	NA	NA
mindex	iso_CPI	14.mindex	09.iso_CPI	0.119026584	0.219259498	NA	NA
iso_CPI	mindex	09.iso_CPI	14.mindex	0.119026584	0.219259498	NA	NA
pct_anteiso	D_nC31	15.pct_anteiso	01.D_nC31	0.12415295	0.220950165	NA	NA
pct_iso	n33.i33	10.pct_iso	12.n33.i33	0.12300388	0.220950165	NA	NA
D_nC31	pct_anteiso	01.D_nC31	15.pct_anteiso	0.12415295	0.220950165	NA	NA
n33.i33	pct_iso	12.n33.i33	10.pct_iso	0.12300388	0.220950165	NA	NA
nalk_CPI	iso_CPI	08.nalk_CPI	09.iso_CPI	0.148757635	0.260325862	NA	NA
iso_CPI	nalk_CPI	09.iso_CPI	08.nalk_CPI	0.148757635	0.260325862	NA	NA
n33.i33	anteiso_CPI	12.n33.i33	13.anteiso_CPI	0.169309944	0.29143515	NA	NA
anteiso_CPI	n33.i33	13.anteiso_CPI	12.n33.i33	0.169309944	0.29143515	NA	NA
D_iC31	anteiso_CPI	03.D_iC31	13.anteiso_CPI	0.208516139	0.353132171	NA	NA
anteiso_CPI	D_iC31	13.anteiso_CPI	03.D_iC31	0.208516139	0.353132171	NA	NA
D_iC31	anteiso_ACL	03.D_iC31	05.anteiso_ACL	0.219960789	0.366601315	NA	NA
anteiso_ACL	D_iC31	05.anteiso_ACL	03.D_iC31	0.219960789	0.366601315	NA	NA
nalk_ACL	D_iC33	07.nalk_ACL	04.D_iC33	0.232186093	0.375069842	NA	NA
n33.i33	iso_CPI	12.n33.i33	09.iso_CPI	0.231468428	0.375069842	NA	NA
iso_CPI	n33.i33	09.iso_CPI	12.n33.i33	0.231468428	0.375069842	NA	NA
D_iC33	nalk_ACL	04.D_iC33	07.nalk_ACL	0.232186093	0.375069842	NA	NA
n33.i33	anteiso_ACL	12.n33.i33	05.anteiso_ACL	0.27982882	0.445182214	NA	NA
anteiso_ACL	n33.i33	05.anteiso_ACL	12.n33.i33	0.27982882	0.445182214	NA	NA
D_iC33	anteiso_CPI	04.D_iC33	13.anteiso_CPI	0.304346102	0.476960309	NA	NA
anteiso_CPI	D_iC33	13.anteiso_CPI	04.D_iC33	0.304346102	0.476960309	NA	NA
n31.i31	anteiso_ACL	11.n31.i31	05.anteiso_ACL	0.401587479	0.600981508	NA	NA
nalk_CPI	anteiso_CPI	08.nalk_CPI	13.anteiso_CPI	0.402214061	0.600981508	NA	NA
iso_CPI	iso_ACL	09.iso_CPI	06.iso_ACL	0.397845556	0.600981508	NA	NA
iso_ACL	iso_CPI	06.iso_ACL	09.iso_CPI	0.397845556	0.600981508	NA	NA
anteiso_ACL	n31.i31	05.anteiso_ACL	11.n31.i31	0.401587479	0.600981508	NA	NA
nalk_ACL	n33.i33	07.nalk_ACL	12.n33.i33	0.406377972	0.600981508	NA	NA
n33.i33	nalk_ACL	12.n33.i33	07.nalk_ACL	0.406377972	0.600981508	NA	NA
anteiso_CPI	nalk_CPI	13.anteiso_CPI	08.nalk_CPI	0.402214061	0.600981508	NA	NA
pct_iso	anteiso_CPI	10.pct_iso	13.anteiso_CPI	0.419424475	0.611660692	NA	NA
anteiso_CPI	pct_iso	13.anteiso_CPI	10.pct_iso	0.419424475	0.611660692	NA	NA
n31.i31	D_iC33	11.n31.i31	04.D_iC33	0.486816142	0.692311604	NA	NA
D_iC33	n31.i31	04.D_iC33	11.n31.i31	0.486816142	0.692311604	NA	NA
pct_iso	n31.i31	10.pct_iso	11.n31.i31	0.487914845	0.692311604	NA	NA
n31.i31	pct_iso	11.n31.i31	10.pct_iso	0.487914845	0.692311604	NA	NA
nalk_CPI	n33.i33	08.nalk_CPI	12.n33.i33	0.496124148	0.694573807	NA	NA
n33.i33	nalk_CPI	12.n33.i33	08.nalk_CPI	0.496124148	0.694573807	NA	NA
nalk_CPI	D_iC31	08.nalk_CPI	03.D_iC31	0.525824318	0.726467808	NA	NA
D_iC31	nalk_CPI	03.D_iC31	08.nalk_CPI	0.525824318	0.726467808	NA	NA
n33.i33	D_iC31	12.n33.i33	03.D_iC31	0.540406668	0.736918184	NA	NA
D_iC31	n33.i33	03.D_iC31	12.n33.i33	0.540406668	0.736918184	NA	NA
nalk_CPI	iso_ACL	08.nalk_CPI	06.iso_ACL	0.554501499	0.742445779	NA	NA
n31.i31	iso_CPI	11.n31.i31	09.iso_CPI	0.558602062	0.742445779	NA	NA
iso_CPI	n31.i31	09.iso_CPI	11.n31.i31	0.558602062	0.742445779	NA	NA
iso_ACL	nalk_CPI	06.iso_ACL	08.nalk_CPI	0.554501499	0.742445779	NA	NA
pct_iso	nalk_ACL	10.pct_iso	07.nalk_ACL	0.605073636	0.794159147	NA	NA
nalk_ACL	pct_iso	07.nalk_ACL	10.pct_iso	0.605073636	0.794159147	NA	NA
nalk_ACL	anteiso_CPI	07.nalk_ACL	13.anteiso_CPI	0.616185225	0.798758625	NA	NA
anteiso_CPI	nalk_ACL	13.anteiso_CPI	07.nalk_ACL	0.616185225	0.798758625	NA	NA
pct_anteiso	D_iC31	15.pct_anteiso	03.D_iC31	0.625128642	0.800469602	NA	NA
D_iC31	pct_anteiso	03.D_iC31	15.pct_anteiso	0.625128642	0.800469602	NA	NA
anteiso_CPI	anteiso_ACL	13.anteiso_CPI	05.anteiso_ACL	0.641886968	0.812025683	NA	NA
anteiso_ACL	anteiso_CPI	05.anteiso_ACL	13.anteiso_CPI	0.641886968	0.812025683	NA	NA
iso_ACL	D_nC31	06.iso_ACL	01.D_nC31	0.670826751	0.838533439	NA	NA
D_nC31	iso_ACL	01.D_nC31	06.iso_ACL	0.670826751	0.838533439	NA	NA
D_nC33	anteiso_ACL	02.D_nC33	05.anteiso_ACL	0.71228806	0.87988525	NA	NA
anteiso_ACL	D_nC33	05.anteiso_ACL	02.D_nC33	0.71228806	0.87988525	NA	NA
pct_iso	anteiso_ACL	10.pct_iso	05.anteiso_ACL	0.741283721	0.882822703	NA	NA
n33.i33	D_iC33	12.n33.i33	04.D_iC33	0.748297339	0.882822703	NA	NA
nalk_CPI	D_nC31	08.nalk_CPI	01.D_nC31	0.727749598	0.882822703	NA	NA
nalk_CPI	D_nC33	08.nalk_CPI	02.D_nC33	0.741682104	0.882822703	NA	NA
D_iC33	n33.i33	04.D_iC33	12.n33.i33	0.748297339	0.882822703	NA	NA
D_nC33	nalk_CPI	02.D_nC33	08.nalk_CPI	0.741682104	0.882822703	NA	NA
D_nC31	nalk_CPI	01.D_nC31	08.nalk_CPI	0.727749598	0.882822703	NA	NA
anteiso_ACL	pct_iso	05.anteiso_ACL	10.pct_iso	0.741283721	0.882822703	NA	NA
D_iC33	anteiso_ACL	04.D_iC33	05.anteiso_ACL	0.765889386	0.886749101	NA	NA
anteiso_ACL	D_iC33	05.anteiso_ACL	04.D_iC33	0.765889386	0.886749101	NA	NA
nalk_ACL	D_nC31	07.nalk_ACL	01.D_nC31	0.776961117	0.886749101	NA	NA
nalk_ACL	D_nC33	07.nalk_ACL	02.D_nC33	0.773848787	0.886749101	NA	NA
D_nC33	nalk_ACL	02.D_nC33	07.nalk_ACL	0.773848787	0.886749101	NA	NA
D_nC31	nalk_ACL	01.D_nC31	07.nalk_ACL	0.776961117	0.886749101	NA	NA
iso_ACL	D_nC33	06.iso_ACL	02.D_nC33	0.785497135	0.886851604	NA	NA
D_nC33	iso_ACL	02.D_nC33	06.iso_ACL	0.785497135	0.886851604	NA	NA
D_nC31	anteiso_ACL	01.D_nC31	05.anteiso_ACL	0.852196686	0.95179179	NA	NA
anteiso_ACL	D_nC31	05.anteiso_ACL	01.D_nC31	0.852196686	0.95179179	NA	NA
nalk_CPI	nalk_ACL	08.nalk_CPI	07.nalk_ACL	0.861144953	0.95179179	NA	NA
nalk_ACL	nalk_CPI	07.nalk_ACL	08.nalk_CPI	0.861144953	0.95179179	NA	NA
n31.i31	D_iC31	11.n31.i31	03.D_iC31	0.872554301	0.954356267	NA	NA
D_iC31	n31.i31	03.D_iC31	11.n31.i31	0.872554301	0.954356267	NA	NA
mindex	D_nC31	14.mindex	01.D_nC31	0.891448069	0.96496956	NA	NA
D_nC31	mindex	01.D_nC31	14.mindex	0.891448069	0.96496956	NA	NA
nalk_CPI	D_iC33	08.nalk_CPI	04.D_iC33	0.904823664	0.969453925	NA	NA
D_iC33	nalk_CPI	04.D_iC33	08.nalk_CPI	0.904823664	0.969453925	NA	NA
D_nC31	anteiso_CPI	01.D_nC31	13.anteiso_CPI	0.931296991	0.972483714	NA	NA
anteiso_CPI	D_nC31	13.anteiso_CPI	01.D_nC31	0.931296991	0.972483714	NA	NA
mindex	D_nC33	14.mindex	02.D_nC33	0.921664667	0.972483714	NA	NA
D_nC33	mindex	02.D_nC33	14.mindex	0.921664667	0.972483714	NA	NA
nalk_CPI	n31.i31	08.nalk_CPI	11.n31.i31	0.935436715	0.972483714	NA	NA
n31.i31	nalk_CPI	11.n31.i31	08.nalk_CPI	0.935436715	0.972483714	NA	NA
D_nC33	anteiso_CPI	02.D_nC33	13.anteiso_CPI	0.95605064	0.974550426	NA	NA
pct_anteiso	D_iC33	15.pct_anteiso	04.D_iC33	0.974550426	0.974550426	NA	NA
anteiso_CPI	D_nC33	13.anteiso_CPI	02.D_nC33	0.95605064	0.974550426	NA	NA
pct_anteiso	iso_CPI	15.pct_anteiso	09.iso_CPI	0.968565035	0.974550426	NA	NA
nalk_ACL	iso_CPI	07.nalk_ACL	09.iso_CPI	0.950009417	0.974550426	NA	NA
iso_CPI	nalk_ACL	09.iso_CPI	07.nalk_ACL	0.950009417	0.974550426	NA	NA
iso_CPI	pct_anteiso	09.iso_CPI	15.pct_anteiso	0.968565035	0.974550426	NA	NA
D_iC33	pct_anteiso	04.D_iC33	15.pct_anteiso	0.974550426	0.974550426	NA	NA
anteiso_ACL	anteiso_ACL	05.anteiso_ACL	05.anteiso_ACL	NA	NA	NA	NA
anteiso_CPI	anteiso_CPI	13.anteiso_CPI	13.anteiso_CPI	NA	NA	NA	NA
D_iC31	D_iC31	03.D_iC31	03.D_iC31	NA	NA	NA	NA
D_iC33	D_iC33	04.D_iC33	04.D_iC33	NA	NA	NA	NA
D_nC31	D_nC31	01.D_nC31	01.D_nC31	NA	NA	NA	NA
D_nC33	D_nC33	02.D_nC33	02.D_nC33	NA	NA	NA	NA
iso_ACL	iso_ACL	06.iso_ACL	06.iso_ACL	NA	NA	NA	NA
iso_CPI	iso_CPI	09.iso_CPI	09.iso_CPI	NA	NA	NA	NA
mindex	mindex	14.mindex	14.mindex	NA	NA	NA	NA
n31.i31	n31.i31	11.n31.i31	11.n31.i31	NA	NA	NA	NA
n33.i33	n33.i33	12.n33.i33	12.n33.i33	NA	NA	NA	NA
nalk_ACL	nalk_ACL	07.nalk_ACL	07.nalk_ACL	NA	NA	NA	NA
nalk_CPI	nalk_CPI	08.nalk_CPI	08.nalk_CPI	NA	NA	NA	NA
pct_anteiso	pct_anteiso	15.pct_anteiso	15.pct_anteiso	NA	NA	NA	NA
pct_iso	pct_iso	10.pct_iso	10.pct_iso	NA	NA	NA	NA
