trait1	trait2	p.value	BH
eps13C_i.C31	iso_CPI	0.393216806	0.56726623
eps13C_n.C31	iso_CPI	0.564192752	0.70524094
eps13C_i.C33	iso_CPI	0.534903244	0.675667255
eps13C_n.C33	iso_CPI	0.786639325	0.840809555
n31.i31	iso_CPI	0.693632659	0.792655117
n33.i33	iso_CPI	0.602141454	0.737316067
Sum_Alk.area	iso_CPI	0.005693486	0.015182629
pct_iso.alkanes	iso_ACL	3.13E-08	1.50E-07
pct_anteiso.alkanes	iso_ACL	1.86E-12	1.31E-11
Methyl_Index	iso_ACL	5.31E-14	4.90E-13
n.alkane_CPI	iso_ACL	0.041830067	0.098423686
n.alkane_ACL	iso_ACL	0	0
anteiso_CPI	iso_ACL	1.88E-08	9.40E-08
anteiso_ACL	iso_ACL	1.57E-11	8.95E-11
iso_CPI	iso_ACL	3.87E-08	1.78E-07
iso_ACL	iso_ACL	NA	NA
eps13C_i.C31	iso_ACL	0.791762331	0.840809555
eps13C_n.C31	iso_ACL	0.737564381	0.79947092
eps13C_i.C33	iso_ACL	0.709971728	0.792655117
eps13C_n.C33	iso_ACL	0.925910082	0.957838016
n31.i31	iso_ACL	0.466362509	0.625927977
n33.i33	iso_ACL	0.6340166	0.753287049
Sum_Alk.area	iso_ACL	0.154193656	0.293702201
pct_iso.alkanes	eps13C_i.C31	0.052568427	0.121311754
pct_anteiso.alkanes	eps13C_i.C31	0.397086361	0.56726623
Methyl_Index	eps13C_i.C31	0.294262993	0.493733302
n.alkane_CPI	eps13C_i.C31	0.204950153	0.369421909
n.alkane_ACL	eps13C_i.C31	0.459158222	0.625927977
anteiso_CPI	eps13C_i.C31	0.475954757	0.625927977
anteiso_ACL	eps13C_i.C31	0.719995065	0.792655117
iso_CPI	eps13C_i.C31	0.393216806	0.56726623
iso_ACL	eps13C_i.C31	0.791762331	0.840809555
eps13C_i.C31	eps13C_i.C31	NA	NA
eps13C_n.C31	eps13C_i.C31	0	0
eps13C_i.C33	eps13C_i.C31	0	0
eps13C_n.C33	eps13C_i.C31	0	0
n31.i31	eps13C_i.C31	0.001955911	0.005867733
n33.i33	eps13C_i.C31	0.104035839	0.215246564
Sum_Alk.area	eps13C_i.C31	0.609460881	0.738740462
pct_iso.alkanes	eps13C_n.C31	0.081944212	0.175594739
pct_anteiso.alkanes	eps13C_n.C31	0.344581328	0.522716251
Methyl_Index	eps13C_n.C31	0.301005523	0.493733302
n.alkane_CPI	eps13C_n.C31	0.209339082	0.369421909
n.alkane_ACL	eps13C_n.C31	0.488536647	0.630369868
anteiso_CPI	eps13C_n.C31	0.177889511	0.333542833
anteiso_ACL	eps13C_n.C31	0.998784708	0.998784708
iso_CPI	eps13C_n.C31	0.564192752	0.70524094
iso_ACL	eps13C_n.C31	0.737564381	0.79947092
eps13C_i.C31	eps13C_n.C31	0	0
eps13C_n.C31	eps13C_n.C31	NA	NA
eps13C_i.C33	eps13C_n.C31	0	0
eps13C_n.C33	eps13C_n.C31	0	0
n31.i31	eps13C_n.C31	2.89E-14	2.89E-13
n33.i33	eps13C_n.C31	2.78E-05	9.81E-05
Sum_Alk.area	eps13C_n.C31	0.35283347	0.522716251
pct_iso.alkanes	eps13C_i.C33	0.064573059	0.146203153
pct_anteiso.alkanes	eps13C_i.C33	0.341687517	0.522716251
Methyl_Index	eps13C_i.C33	0.313084663	0.500935462
n.alkane_CPI	eps13C_i.C33	0.479878116	0.625927977
n.alkane_ACL	eps13C_i.C33	0.450352128	0.625927977
anteiso_CPI	eps13C_i.C33	0.327649117	0.517340712
anteiso_ACL	eps13C_i.C33	0.831222772	0.867362893
iso_CPI	eps13C_i.C33	0.534903244	0.675667255
iso_ACL	eps13C_i.C33	0.709971728	0.792655117
eps13C_i.C31	eps13C_i.C33	0	0
eps13C_n.C31	eps13C_i.C33	0	0
eps13C_i.C33	eps13C_i.C33	NA	NA
eps13C_n.C33	eps13C_i.C33	0	0
n31.i31	eps13C_i.C33	0.000149127	0.000483657
n33.i33	eps13C_i.C33	0.701538091	0.792655117
Sum_Alk.area	eps13C_i.C33	0.661088611	0.770200324
pct_iso.alkanes	eps13C_n.C33	0.121528537	0.243759515
pct_anteiso.alkanes	eps13C_n.C33	0.517077661	0.660099142
Methyl_Index	eps13C_n.C33	0.457491361	0.625927977
n.alkane_CPI	eps13C_n.C33	0.30446887	0.493733302
n.alkane_ACL	eps13C_n.C33	0.395626317	0.56726623
anteiso_CPI	eps13C_n.C33	0.204228236	0.369421909
anteiso_ACL	eps13C_n.C33	0.994976323	0.998784708
iso_CPI	eps13C_n.C33	0.786639325	0.840809555
iso_ACL	eps13C_n.C33	0.925910082	0.957838016
eps13C_i.C31	eps13C_n.C33	0	0
eps13C_n.C31	eps13C_n.C33	0	0
eps13C_i.C33	eps13C_n.C33	0	0
eps13C_n.C33	eps13C_n.C33	NA	NA
n31.i31	eps13C_n.C33	3.62E-12	2.41E-11
n33.i33	eps13C_n.C33	4.97E-06	1.81E-05
Sum_Alk.area	eps13C_n.C33	0.337993399	0.522716251
pct_iso.alkanes	n31.i31	0.696361421	0.792655117
pct_anteiso.alkanes	n31.i31	0.66099359	0.770200324
Methyl_Index	n31.i31	0.718501533	0.792655117
n.alkane_CPI	n31.i31	0.275217045	0.471800649
n.alkane_ACL	n31.i31	0.973417905	0.998377338
anteiso_CPI	n31.i31	0.03744939	0.091712792
anteiso_ACL	n31.i31	0.812257069	0.855007441
iso_CPI	n31.i31	0.693632659	0.792655117
iso_ACL	n31.i31	0.466362509	0.625927977
eps13C_i.C31	n31.i31	0.001955911	0.005867733
eps13C_n.C31	n31.i31	2.89E-14	2.89E-13
eps13C_i.C33	n31.i31	0.000149127	0.000483657
eps13C_n.C33	n31.i31	3.62E-12	2.41E-11
n31.i31	n31.i31	NA	NA
n33.i33	n31.i31	0	0
Sum_Alk.area	n31.i31	0.143295631	0.277346382
pct_iso.alkanes	n33.i33	0.351036534	0.522716251
pct_anteiso.alkanes	n33.i33	0.577198225	0.71405966
Methyl_Index	n33.i33	0.983431672	0.998784708
n.alkane_CPI	n33.i33	0.121879758	0.243759515
n.alkane_ACL	n33.i33	0.477278259	0.625927977
anteiso_CPI	n33.i33	0.302043053	0.493733302
anteiso_ACL	n33.i33	0.739510601	0.79947092
iso_CPI	n33.i33	0.602141454	0.737316067
iso_ACL	n33.i33	0.6340166	0.753287049
eps13C_i.C31	n33.i33	0.104035839	0.215246564
eps13C_n.C31	n33.i33	2.78E-05	9.81E-05
eps13C_i.C33	n33.i33	0.701538091	0.792655117
eps13C_n.C33	n33.i33	4.97E-06	1.81E-05
n31.i31	n33.i33	0	0
n33.i33	n33.i33	NA	NA
Sum_Alk.area	n33.i33	0.473881325	0.625927977
pct_iso.alkanes	Sum_Alk.area	0.067715668	0.147743275
pct_anteiso.alkanes	Sum_Alk.area	0.101590097	0.213873889
Methyl_Index	Sum_Alk.area	0.066124483	0.146943297
n.alkane_CPI	Sum_Alk.area	0.020826283	0.052065707
n.alkane_ACL	Sum_Alk.area	0.000276813	0.000874146
anteiso_CPI	Sum_Alk.area	4.96E-07	2.05E-06
anteiso_ACL	Sum_Alk.area	0.630677997	0.753287049
iso_CPI	Sum_Alk.area	0.005693486	0.015182629
iso_ACL	Sum_Alk.area	0.154193656	0.293702201
eps13C_i.C31	Sum_Alk.area	0.609460881	0.738740462
eps13C_n.C31	Sum_Alk.area	0.35283347	0.522716251
eps13C_i.C33	Sum_Alk.area	0.661088611	0.770200324
eps13C_n.C33	Sum_Alk.area	0.337993399	0.522716251
n31.i31	Sum_Alk.area	0.143295631	0.277346382
n33.i33	Sum_Alk.area	0.473881325	0.625927977
Sum_Alk.area	Sum_Alk.area	NA	NA
