trait1	trait2	p.value	BH
WAX.13eps_iC33	DEV.CompAll	0.526644767	0.808794484
WAX.13eps_nC33	DEV.CompAll	0.466402757	0.773677426
WAX.i31_n31	DEV.CompAll	0.698722029	0.896557021
WAX.i33_n33	DEV.CompAll	0.846199424	0.952189184
DEV.CompAll	DEV.CompInt	0	0
DEV.CompInt	DEV.CompInt	NA	NA
DEV.CompPri	DEV.CompInt	1.33E-15	3.84E-13
DEV.CompRachis	DEV.CompInt	0	0
DEV.CompSec	DEV.CompInt	1.95E-12	3.71E-10
DEV.CotPaveAR	DEV.CompInt	0.752667845	0.917796154
DEV.CotPaveArea	DEV.CompInt	0.1022136	0.396280229
DEV.CotPaveCirc	DEV.CompInt	0.172208369	0.50871229
DEV.CotPaveCnt	DEV.CompInt	0.095034076	0.383122815
DEV.CotPaveRound	DEV.CompInt	0.69110497	0.893671873
DEV.CotPaveSolid	DEV.CompInt	0.39296951	0.726542643
DEV.CotStom	DEV.CompInt	0.245127861	0.596938851
DEV.CotStomInd	DEV.CompInt	0.671881146	0.884643509
DEV.FlowTime	DEV.CompInt	0.003327753	0.044155558
DEV.LatLfSize	DEV.CompInt	0.003173563	0.042669164
DEV.LatPC1	DEV.CompInt	0.039517124	0.234238213
DEV.LatPC2	DEV.CompInt	0.03537377	0.219136646
DEV.LatPC3	DEV.CompInt	0.284813449	0.637258415
DEV.LatPC4	DEV.CompInt	0.080095381	0.349773178
DEV.LatPC5	DEV.CompInt	0.001814267	0.0277711
DEV.LfAbStom	DEV.CompInt	0.000252874	0.005742909
DEV.LfAdStom	DEV.CompInt	0.120097732	0.429935122
DEV.LfStomRatio	DEV.CompInt	0.849174546	0.952626073
DEV.LftAR	DEV.CompInt	0.554612992	0.826678415
DEV.LftCirc	DEV.CompInt	0.007282489	0.077585556
DEV.LftRound	DEV.CompInt	0.48074883	0.781917151
DEV.LftSolid	DEV.CompInt	0.004867992	0.058378334
DEV.TermLfSize	DEV.CompInt	0.000592661	0.011486051
DEV.TermPC1	DEV.CompInt	0.09216193	0.376537697
DEV.TermPC3	DEV.CompInt	0.103789452	0.398377138
DEV.TermPC4	DEV.CompInt	0.021405123	0.160229031
DEV.TermPC5	DEV.CompInt	6.68E-05	0.001921459
ENZ.aa_cont	DEV.CompInt	0.481771004	0.782052931
ENZ.ac_inv	DEV.CompInt	0.369501	0.709782431
ENZ.aconi	DEV.CompInt	0.163669629	0.496548585
ENZ.agpa	DEV.CompInt	0.009489008	0.093112135
ENZ.ala_ami	DEV.CompInt	0.408090105	0.736062423
ENZ.asp_ami	DEV.CompInt	0.582636335	0.841893548
ENZ.fbp_ald	DEV.CompInt	0.415215404	0.740272471
ENZ.fru_kin	DEV.CompInt	0.518739597	0.804760965
ENZ.fructose_e	DEV.CompInt	0.717642469	0.90476915
ENZ.fuma	DEV.CompInt	0.926077296	0.978065628
ENZ.g6pdh	DEV.CompInt	0.954763222	0.986800118
ENZ.gadph	DEV.CompInt	0.796120181	0.934763913
ENZ.gapdh_p	DEV.CompInt	0.181479397	0.521715955
ENZ.gluc_kin	DEV.CompInt	0.204117214	0.549768222
ENZ.glucose_e	DEV.CompInt	6.27E-05	0.001820069
ENZ.gluta_dh	DEV.CompInt	0.255273535	0.6059629
ENZ.iso_ci_dh	DEV.CompInt	0.312141704	0.663850479
ENZ.mal_dh	DEV.CompInt	0.061606566	0.305634879
ENZ.pep_car	DEV.CompInt	0.847374321	0.952246095
ENZ.ph_fru_kin	DEV.CompInt	0.893148325	0.966636796
ENZ.ph_fru_kin_a	DEV.CompInt	0.922503527	0.976965715
ENZ.ph_glu_is_c	DEV.CompInt	0.695831034	0.895117991
ENZ.ph_glu_is_t	DEV.CompInt	0.837102138	0.948442182
ENZ.ph_glu_mut	DEV.CompInt	0.242500107	0.594388495
ENZ.ph_gly_kin	DEV.CompInt	0.111034326	0.413363413
ENZ.pro_con	DEV.CompInt	0.482945935	0.78269297
ENZ.pyr_kin	DEV.CompInt	0.954016312	0.986643708
ENZ.shik_de	DEV.CompInt	0.123745673	0.435797946
ENZ.starch	DEV.CompInt	0.311170241	0.66283749
ENZ.suc_p_syn	DEV.CompInt	0.940579307	0.982810773
ENZ.suc_syn	DEV.CompInt	0.613316847	0.857581906
ENZ.succ_co_l	DEV.CompInt	0.992352325	0.998708979
ENZ.sucrose_e	DEV.CompInt	0.647712031	0.87333854
ENZ.tr_ph_iso	DEV.CompInt	0.675292817	0.886672563
ENZ.udp_glu	DEV.CompInt	0.444286754	0.760240742
MET.a_tocopherol	DEV.CompInt	0.836735769	0.948438442
MET.aconitate	DEV.CompInt	0.740525025	0.913867723
MET.alanine	DEV.CompInt	0.802462078	0.936587169
MET.arabinose	DEV.CompInt	0.70301333	0.898846559
MET.arginine	DEV.CompInt	0.422751277	0.746256873
MET.asparagine	DEV.CompInt	0.132160469	0.449112014
MET.aspartate	DEV.CompInt	0.774478866	0.926537083
MET.b_alanine	DEV.CompInt	0.432026217	0.752005856
MET.benzoate	DEV.CompInt	0.598266025	0.849726137
MET.citramalate	DEV.CompInt	0.046253883	0.257269905
MET.citrate	DEV.CompInt	0.101400949	0.395139313
MET.cysteine	DEV.CompInt	0.123414829	0.435235699
MET.dehydroascorbate	DEV.CompInt	0.112225465	0.415474896
MET.erythritol	DEV.CompInt	0.483975274	0.783572257
MET.fa16_0	DEV.CompInt	0.647712031	0.87333854
MET.fa18_0	DEV.CompInt	0.646361819	0.872693084
MET.fa18_2	DEV.CompInt	0.524173632	0.80749492
MET.fructose	DEV.CompInt	0.018808971	0.148255833
MET.fructose_6p	DEV.CompInt	0.092525904	0.377308168
MET.fucose	DEV.CompInt	0.196992099	0.541007665
MET.fumarate	DEV.CompInt	0.468072085	0.774516534
MET.gaba	DEV.CompInt	0.271693231	0.623797456
MET.galactose	DEV.CompInt	0.364229337	0.706088841
MET.galacturonate	DEV.CompInt	0.665707988	0.882122226
MET.gluconate	DEV.CompInt	0.569158747	0.834193386
MET.glucose	DEV.CompInt	0.009567362	0.093790018
MET.glucose_6p	DEV.CompInt	0.121765292	0.432857272
MET.glutamate	DEV.CompInt	0.954795981	0.986800118
MET.glutamine	DEV.CompInt	0.745965353	0.915970815
MET.glycerate	DEV.CompInt	0.657195045	0.878081154
MET.glycerate_3p	DEV.CompInt	0.155427619	0.484688759
MET.glycerol	DEV.CompInt	0.258183106	0.60944215
MET.glycerol_1p	DEV.CompInt	0.028423259	0.191859529
MET.glycine	DEV.CompInt	0.580057934	0.840600071
MET.homoserine	DEV.CompInt	0.931443915	0.979976695
MET.inositol	DEV.CompInt	0.11441644	0.419238269
MET.inositol_1p	DEV.CompInt	0.952522607	0.986199964
MET.isocitrate	DEV.CompInt	0.296746105	0.650104317
MET.isoleucine	DEV.CompInt	0.290318465	0.643041834
MET.isomaltose	DEV.CompInt	0.859930723	0.955282239
MET.l_ascorbate	DEV.CompInt	0.216234672	0.565266296
MET.leucine	DEV.CompInt	0.212208783	0.559765217
MET.lysine	DEV.CompInt	0.479718535	0.781850546
MET.malate	DEV.CompInt	0.264005512	0.615507414
MET.maleate	DEV.CompInt	0.183620768	0.524261194
MET.maltitol	DEV.CompInt	0.225495343	0.575846622
MET.maltose	DEV.CompInt	0.213608401	0.561717939
MET.mannitol	DEV.CompInt	0.966958222	0.990493666
MET.mannose	DEV.CompInt	0.788888441	0.932068194
MET.methionine	DEV.CompInt	0.633592292	0.868027337
MET.oxoproline_5	DEV.CompInt	0.437674426	0.755298739
MET.phenylalanine	DEV.CompInt	0.902238691	0.969762432
MET.phosphate	DEV.CompInt	0.708191038	0.901302956
MET.proline	DEV.CompInt	0.162084318	0.494312981
MET.putrescine	DEV.CompInt	0.46880309	0.775058209
MET.quinate	DEV.CompInt	0.001744582	0.026955232
MET.rhamnose	DEV.CompInt	0.625415338	0.86373745
MET.ribose	DEV.CompInt	0.430783213	0.751733642
MET.s_me_cysteine	DEV.CompInt	0.252857972	0.603879253
MET.saccharate	DEV.CompInt	0.870761893	0.958412305
MET.serine	DEV.CompInt	0.946362872	0.984463633
MET.shikimate	DEV.CompInt	0.916728451	0.975244517
MET.sorbitol	DEV.CompInt	0.341183316	0.686836497
MET.succinate	DEV.CompInt	0.537669903	0.816090991
MET.sucrose	DEV.CompInt	0.45959612	0.769099906
MET.t4_ho_proline	DEV.CompInt	0.675481956	0.886754371
MET.threonate	DEV.CompInt	0.391570457	0.725449446
MET.threonine	DEV.CompInt	0.934053178	0.980794767
MET.trehalose	DEV.CompInt	0.485005738	0.784174688
MET.tryptophan	DEV.CompInt	0.901681764	0.969745966
MET.tyrosine	DEV.CompInt	0.54249398	0.818968239
MET.uracil	DEV.CompInt	0.136031534	0.455327096
MET.valine	DEV.CompInt	0.093465028	0.379643134
MOR.Anther_L_W	DEV.CompInt	0.293163043	0.646067585
MOR.Anther_length	DEV.CompInt	0.405738932	0.733809944
MOR.Anther_width	DEV.CompInt	0.414055086	0.739382194
MOR.BM	DEV.CompInt	0.001452627	0.02338755
MOR.BX	DEV.CompInt	0.003499838	0.046124628
MOR.BY	DEV.CompInt	0.011029151	0.103226648
MOR.EA	DEV.CompInt	0.103068919	0.397543325
MOR.flowers_inf	DEV.CompInt	0.263700592	0.615427311
MOR.flowers_plant	DEV.CompInt	0.230293894	0.580739318
MOR.FN	DEV.CompInt	0.05106489	0.273421286
MOR.Fruit_L_Pt	DEV.CompInt	0.160072196	0.491283913
MOR.Fruit_L_W	DEV.CompInt	0.05738924	0.293344827
MOR.Fruit_length	DEV.CompInt	0.113743223	0.418515722
MOR.Fruit_locule	DEV.CompInt	0.978342201	0.993475599
MOR.Fruit_peric_thick	DEV.CompInt	0.179009107	0.518361913
MOR.Fruit_W_Pt	DEV.CompInt	0.422187116	0.745572422
MOR.Fruit_width	DEV.CompInt	0.738975794	0.913221257
MOR.FW	DEV.CompInt	0.738609732	0.913110708
MOR.HI	DEV.CompInt	0.072426337	0.332423054
MOR.inf	DEV.CompInt	0.070278788	0.326649706
MOR.Ovary_L_W	DEV.CompInt	0.887683022	0.964422842
MOR.Ovary_length	DEV.CompInt	0.427280327	0.749267722
MOR.Ovary_width	DEV.CompInt	0.454882224	0.766829466
MOR.PW	DEV.CompInt	0.000219148	0.005111506
MOR.RED	DEV.CompInt	0.108774942	0.40876109
MOR.Seed_L_W	DEV.CompInt	0.295645199	0.648999939
MOR.Seed_Length	DEV.CompInt	0.720597706	0.905551488
MOR.Seed_Width	DEV.CompInt	0.713132673	0.903091593
MOR.Seed_Wt	DEV.CompInt	0.259333218	0.61042949
MOR.SN_fruit	DEV.CompInt	0.598772252	0.849896585
MOR.SN_fruit_unit	DEV.CompInt	0.980866989	0.994534865
MOR.SN_plant	DEV.CompInt	0.062336439	0.307744331
MOR.Style_L_W	DEV.CompInt	0.084773687	0.35991816
MOR.Style_length	DEV.CompInt	0.27455311	0.625409649
MOR.Style_width	DEV.CompInt	0.355760978	0.699676198
MOR.SW_fruit	DEV.CompInt	0.401891748	0.731773203
MOR.SW_plant	DEV.CompInt	0.043244338	0.247214052
MOR.TY	DEV.CompInt	0.0548632	0.286369996
SED.Adenine_seeds	DEV.CompInt	0.870166951	0.958149814
SED.Alanine_seeds	DEV.CompInt	0.225024189	0.575336119
SED.Arginine_seeds	DEV.CompInt	0.179365937	0.518833527
SED.Asparagine_seeds	DEV.CompInt	0.844214289	0.951565709
SED.Aspartate_seeds	DEV.CompInt	0.217530613	0.567063863
SED.Benzoate_seeds	DEV.CompInt	0.322772765	0.671556994
SED.Citrate_seeds	DEV.CompInt	0.546022111	0.820871615
SED.Erythritol_seeds	DEV.CompInt	0.01974559	0.152627192
SED.Fructose_seeds	DEV.CompInt	0.741517056	0.914273264
SED.Fumarate_seeds	DEV.CompInt	0.482303874	0.782418362
SED.GABA_seeds	DEV.CompInt	0.637397635	0.869442974
SED.Galactinol_seeds	DEV.CompInt	0.203369223	0.548608439
SED.Galactonic_acid_1_4_lactone_seeds	DEV.CompInt	0.529759052	0.811438364
SED.Glutamate_seeds	DEV.CompInt	0.951570029	0.985980268
SED.Glycerate_seeds	DEV.CompInt	0.005685653	0.064979561
SED.Glycerol_1P_seeds	DEV.CompInt	0.607058251	0.854072487
SED.Glycerol_seeds	DEV.CompInt	0.842057881	0.950800135
SED.Glycine_seeds	DEV.CompInt	0.613745699	0.857740019
SED.Glycolate_seeds	DEV.CompInt	0.623307681	0.862577838
SED.Isoleucine_seeds	DEV.CompInt	0.574453032	0.837337302
SED.Lysine_seeds	DEV.CompInt	0.66414779	0.881219622
SED.Malate_seeds	DEV.CompInt	0.133336919	0.45127681
SED.Maltotriose_seeds	DEV.CompInt	0.947532675	0.984992019
SED.Melezitose_seeds	DEV.CompInt	0.056145535	0.28985897
SED.Myo_Inositol_seeds	DEV.CompInt	0.13824546	0.459001845
SED.NA_sugar_seeds	DEV.CompInt	0.781627158	0.929142712
SED.Nicotinate_seeds	DEV.CompInt	0.818274806	0.942264189
SED.Nonanoate_seeds	DEV.CompInt	0.109086309	0.409431864
SED.Octadecanoate_seeds	DEV.CompInt	0.297202951	0.65044229
SED.Phenylalanine_seeds	DEV.CompInt	0.418120618	0.742491466
SED.Phosphate_seeds	DEV.CompInt	0.45861378	0.768428113
SED.Proline_seeds	DEV.CompInt	0.67805165	0.88766934
SED.Putrescine_seeds	DEV.CompInt	0.884001195	0.962738386
SED.Raffinose_seeds	DEV.CompInt	0.308612715	0.660282323
SED.Salicylate_seeds	DEV.CompInt	0.515688735	0.802992827
SED.Serine_seeds	DEV.CompInt	0.701525045	0.898216711
SED.Succinate_seeds	DEV.CompInt	0.97929634	0.994011376
SED.Threonine_seeds	DEV.CompInt	0.274219131	0.625094132
