trait	num.trait
MET.malate	058.MET.malate
MET.l_ascorbate	059.MET.l_ascorbate
ENZ.fru_kin	060.ENZ.fru_kin
ENZ.gapdh_p	061.ENZ.gapdh_p
MET.fucose	062.MET.fucose
MET.arabinose	063.MET.arabinose
MET.threonate	064.MET.threonate
ENZ.fuma	065.ENZ.fuma
ENZ.iso_ci_dh	066.ENZ.iso_ci_dh
ENZ.sucrose_e	067.ENZ.sucrose_e
SED.Raffinose_seeds	068.SED.Raffinose_seeds
WAX.anteiso_CPI	069.WAX.anteiso_CPI
WAX.pct_anteiso	070.WAX.pct_anteiso
WAX.mindex	071.WAX.mindex
WAX.nalk_CPI	072.WAX.nalk_CPI
WAX.sum_alk_area	073.WAX.sum_alk_area
WAX.pct_iso	074.WAX.pct_iso
WAX.iso_CPI	075.WAX.iso_CPI
ENZ.fructose_e	076.ENZ.fructose_e
MOR.flowers_plant	077.MOR.flowers_plant
MOR.inf	078.MOR.inf
DEV.CotPaveArea	079.DEV.CotPaveArea
DEV.CotPaveCnt	080.DEV.CotPaveCnt
MET.glycerol	081.MET.glycerol
DEV.CotStom	082.DEV.CotStom
DEV.CotStomInd	083.DEV.CotStomInd
MET.fa16_0	084.MET.fa16_0
MET.fa18_0	085.MET.fa18_0
MET.mannitol	086.MET.mannitol
MET.s_me_cysteine	087.MET.s_me_cysteine
MET.inositol_1p	088.MET.inositol_1p
MET.isomaltose	089.MET.isomaltose
MET.fa18_2	090.MET.fa18_2
MET.galacturonate	091.MET.galacturonate
MET.gluconate	092.MET.gluconate
MET.erythritol	093.MET.erythritol
MET.saccharate	094.MET.saccharate
MOR.Seed_Length	095.MOR.Seed_Length
MOR.Seed_Width	096.MOR.Seed_Width
MOR.Seed_Wt	097.MOR.Seed_Wt
SED.Citrate_seeds	098.SED.Citrate_seeds
SED.Malate_seeds	099.SED.Malate_seeds
SED.Benzoate_seeds	100.SED.Benzoate_seeds
SED.Fumarate_seeds	101.SED.Fumarate_seeds
SED.Nonanoate_seeds	102.SED.Nonanoate_seeds
MET.rhamnose	103.MET.rhamnose
MET.ribose	104.MET.ribose
WAX.i31_n31	105.WAX.i31_n31
WAX.i33_n33	106.WAX.i33_n33
MET.alanine	107.MET.alanine
MOR.Seed_L_W	108.MOR.Seed_L_W
SED.Erythritol_seeds	109.SED.Erythritol_seeds
SED.Glycerate_seeds	110.SED.Glycerate_seeds
SED.Adenine_seeds	111.SED.Adenine_seeds
SED.Succinate_seeds	112.SED.Succinate_seeds
SED.Uracil_seeds	113.SED.Uracil_seeds
MOR.Fruit_L_W	114.MOR.Fruit_L_W
MOR.Fruit_W_Pt	115.MOR.Fruit_W_Pt
MOR.Ovary_L_W	116.MOR.Ovary_L_W
MET.quinate	117.MET.quinate
MOR.Fruit_locule	118.MOR.Fruit_locule
MOR.Fruit_L_Pt	119.MOR.Fruit_L_Pt
MOR.Fruit_length	120.MOR.Fruit_length
MOR.Fruit_peric_thick	121.MOR.Fruit_peric_thick
MOR.Fruit_width	122.MOR.Fruit_width
MOR.FW	123.MOR.FW
MOR.Anther_L_W	124.MOR.Anther_L_W
MOR.Anther_length	125.MOR.Anther_length
MOR.Style_length	126.MOR.Style_length
MOR.Anther_width	127.MOR.Anther_width
MOR.Ovary_length	128.MOR.Ovary_length
MOR.Ovary_width	129.MOR.Ovary_width
MOR.Style_L_W	130.MOR.Style_L_W
MOR.Style_width	131.MOR.Style_width
SED.Putrescine_seeds	132.SED.Putrescine_seeds
SED.Salicylate_seeds	133.SED.Salicylate_seeds
SED.Glycolate_seeds	134.SED.Glycolate_seeds
SED.Fructose_seeds	135.SED.Fructose_seeds
SED.NA_sugar_seeds	136.SED.NA_sugar_seeds
MOR.PW	137.MOR.PW
MOR.BX	138.MOR.BX
MOR.EA	139.MOR.EA
MOR.HI	140.MOR.HI
ENZ.ph_gly_kin	141.ENZ.ph_gly_kin
ENZ.shik_de	142.ENZ.shik_de
MET.galactose	143.MET.galactose
MET.mannose	144.MET.mannose
MET.a_tocopherol	145.MET.a_tocopherol
MET.trehalose	146.MET.trehalose
MET.cysteine	147.MET.cysteine
MET.dehydroascorbate	148.MET.dehydroascorbate
MET.proline	149.MET.proline
MET.inositol	150.MET.inositol
MET.sucrose	151.MET.sucrose
MET.maltitol	152.MET.maltitol
MET.maltose	153.MET.maltose
ENZ.glucose_e	154.ENZ.glucose_e
MET.fructose	155.MET.fructose
MET.glucose	156.MET.glucose
DEV.CompInt	157.DEV.CompInt
DEV.CompRachis	158.DEV.CompRachis
DEV.CompPri	159.DEV.CompPri
DEV.CompAll	160.DEV.CompAll
DEV.CompSec	161.DEV.CompSec
DEV.TermPC1	162.DEV.TermPC1
DEV.LatPC1	163.DEV.LatPC1
DEV.LftAR	164.DEV.LftAR
DEV.LftRound	165.DEV.LftRound
DEV.LatPC3	166.DEV.LatPC3
DEV.LatPC4	167.DEV.LatPC4
DEV.TermPC3	168.DEV.TermPC3
DEV.TermPC4	169.DEV.TermPC4
DEV.LftCirc	170.DEV.LftCirc
DEV.LftSolid	171.DEV.LftSolid
DEV.LatPC5	172.DEV.LatPC5
DEV.TermPC5	173.DEV.TermPC5
SED.Glycine_seeds	174.SED.Glycine_seeds
SED.Lysine_seeds	175.SED.Lysine_seeds
SED.Proline_seeds	176.SED.Proline_seeds
SED.Isoleucine_seeds	177.SED.Isoleucine_seeds
SED.Valine_seeds	178.SED.Valine_seeds
SED.Alanine_seeds	179.SED.Alanine_seeds
SED.Serine_seeds	180.SED.Serine_seeds
SED.Threonine_seeds	181.SED.Threonine_seeds
SED.Urea_seeds	182.SED.Urea_seeds
SED.Glycerol_seeds	183.SED.Glycerol_seeds
SED.Nicotinate_seeds	184.SED.Nicotinate_seeds
SED.Glutamate_seeds	185.SED.Glutamate_seeds
SED.Maltotriose_seeds	186.SED.Maltotriose_seeds
SED.Phenylalanine_seeds	187.SED.Phenylalanine_seeds
SED.Asparagine_seeds	188.SED.Asparagine_seeds
SED.GABA_seeds	189.SED.GABA_seeds
SED.Aspartate_seeds	190.SED.Aspartate_seeds
SED.X4_Hydroxy_Benzoate_seeds	191.SED.X4_Hydroxy_Benzoate_seeds
SED.Octadecanoate_seeds	192.SED.Octadecanoate_seeds
SED.Arginine_seeds	193.SED.Arginine_seeds
SED.Galactonic_acid_1_4_lactone_seeds	194.SED.Galactonic_acid_1_4_lactone_seeds
SED.Glycerol_1P_seeds	195.SED.Glycerol_1P_seeds
SED.Phosphate_seeds	196.SED.Phosphate_seeds
SED.Myo_Inositol_seeds	197.SED.Myo_Inositol_seeds
SED.Tyrosine_seeds	198.SED.Tyrosine_seeds
MET.glycine	199.MET.glycine
MET.serine	200.MET.serine
MET.valine	201.MET.valine
MET.isoleucine	202.MET.isoleucine
MET.leucine	203.MET.leucine
MET.phosphate	204.MET.phosphate
MET.b_alanine	205.MET.b_alanine
MET.gaba	206.MET.gaba
MET.asparagine	207.MET.asparagine
MET.t4_ho_proline	208.MET.t4_ho_proline
MET.homoserine	209.MET.homoserine
MET.methionine	210.MET.methionine
MET.arginine	211.MET.arginine
MET.glutamine	212.MET.glutamine
MET.tryptophan	213.MET.tryptophan
MET.lysine	214.MET.lysine
MET.tyrosine	215.MET.tyrosine
MET.phenylalanine	216.MET.phenylalanine
MET.threonine	217.MET.threonine
MET.glutamate	218.MET.glutamate
MET.oxoproline_5	219.MET.oxoproline_5
ENZ.aa_cont	220.ENZ.aa_cont
MET.aspartate	221.MET.aspartate
MET.glycerate	222.MET.glycerate
MET.citrate	223.MET.citrate
MET.isocitrate	224.MET.isocitrate
MET.fructose_6p	225.MET.fructose_6p
MET.glucose_6p	226.MET.glucose_6p
MET.glycerate_3p	227.MET.glycerate_3p
MET.glycerol_1p	228.MET.glycerol_1p
MOR.SN_fruit_unit	229.MOR.SN_fruit_unit
MOR.SN_fruit	230.MOR.SN_fruit
MOR.SW_fruit	231.MOR.SW_fruit
MOR.SN_plant	232.MOR.SN_plant
MOR.SW_plant	233.MOR.SW_plant
MOR.RED	234.MOR.RED
MOR.BM	235.MOR.BM
MOR.FN	236.MOR.FN
MOR.BY	237.MOR.BY
MOR.TY	238.MOR.TY
