trait1	trait2	p.value	BH
iso_CPI	eps13C_i.C31	0.393216806	0.571151615
iso_ACL	eps13C_i.C31	0.791762331	0.848316784
eps13C_i.C31	eps13C_i.C31	NA	NA
eps13C_n.C31	eps13C_i.C31	0	0
eps13C_i.C33	eps13C_i.C31	0	0
eps13C_n.C33	eps13C_i.C31	0	0
n31.i31	eps13C_i.C31	0.001955911	0.005404491
n33.i33	eps13C_i.C31	0.104035839	0.214191434
pct_iso.alkanes	eps13C_n.C31	0.081944212	0.172082844
pct_anteiso.alkanes	eps13C_n.C31	0.344581328	0.524362891
Methyl_Index	eps13C_n.C31	0.301005523	0.491834328
n.alkane_CPI	eps13C_n.C31	0.209339082	0.372552603
n.alkane_ACL	eps13C_n.C31	0.488536647	0.633288247
anteiso_CPI	eps13C_n.C31	0.177889511	0.339607248
anteiso_ACL	eps13C_n.C31	0.998784708	0.998784708
iso_CPI	eps13C_n.C31	0.564192752	0.70524094
iso_ACL	eps13C_n.C31	0.737564381	0.80883972
eps13C_i.C31	eps13C_n.C31	0	0
eps13C_n.C31	eps13C_n.C31	NA	NA
eps13C_i.C33	eps13C_n.C31	0	0
eps13C_n.C33	eps13C_n.C31	0	0
n31.i31	eps13C_n.C31	2.89E-14	2.53E-13
n33.i33	eps13C_n.C31	2.78E-05	8.84E-05
pct_iso.alkanes	eps13C_i.C33	0.064573059	0.138370841
pct_anteiso.alkanes	eps13C_i.C33	0.341687517	0.524362891
Methyl_Index	eps13C_i.C33	0.313084663	0.498089237
n.alkane_CPI	eps13C_i.C33	0.479878116	0.629840027
n.alkane_ACL	eps13C_i.C33	0.450352128	0.629840027
anteiso_CPI	eps13C_i.C33	0.327649117	0.51347996
anteiso_ACL	eps13C_i.C33	0.831222772	0.872783911
iso_CPI	eps13C_i.C33	0.534903244	0.676684826
iso_ACL	eps13C_i.C33	0.709971728	0.804249807
eps13C_i.C31	eps13C_i.C33	0	0
eps13C_n.C31	eps13C_i.C33	0	0
eps13C_i.C33	eps13C_i.C33	NA	NA
eps13C_n.C33	eps13C_i.C33	0	0
n31.i31	eps13C_i.C33	0.000149127	0.000434955
n33.i33	eps13C_i.C33	0.701538091	0.804249807
pct_iso.alkanes	eps13C_n.C33	0.121528537	0.241459897
pct_anteiso.alkanes	eps13C_n.C33	0.517077661	0.66211164
Methyl_Index	eps13C_n.C33	0.457491361	0.629840027
n.alkane_CPI	eps13C_n.C33	0.30446887	0.491834328
n.alkane_ACL	eps13C_n.C33	0.395626317	0.571151615
anteiso_CPI	eps13C_n.C33	0.204228236	0.372552603
anteiso_ACL	eps13C_n.C33	0.994976323	0.998784708
iso_CPI	eps13C_n.C33	0.786639325	0.848316784
iso_ACL	eps13C_n.C33	0.925910082	0.962579788
eps13C_i.C31	eps13C_n.C33	0	0
eps13C_n.C31	eps13C_n.C33	0	0
eps13C_i.C33	eps13C_n.C33	0	0
eps13C_n.C33	eps13C_n.C33	NA	NA
n31.i31	eps13C_n.C33	3.62E-12	2.11E-11
n33.i33	eps13C_n.C33	4.97E-06	1.63E-05
pct_iso.alkanes	n31.i31	0.696361421	0.804249807
pct_anteiso.alkanes	n31.i31	0.66099359	0.788685533
Methyl_Index	n31.i31	0.718501533	0.804249807
n.alkane_CPI	n31.i31	0.275217045	0.473734258
n.alkane_ACL	n31.i31	0.973417905	0.998784708
anteiso_CPI	n31.i31	0.03744939	0.08738191
anteiso_ACL	n31.i31	0.812257069	0.86148477
iso_CPI	n31.i31	0.693632659	0.804249807
iso_ACL	n31.i31	0.466362509	0.629840027
eps13C_i.C31	n31.i31	0.001955911	0.005404491
eps13C_n.C31	n31.i31	2.89E-14	2.53E-13
eps13C_i.C33	n31.i31	0.000149127	0.000434955
eps13C_n.C33	n31.i31	3.62E-12	2.11E-11
n31.i31	n31.i31	NA	NA
n33.i33	n31.i31	0	0
pct_iso.alkanes	n33.i33	0.351036534	0.526554801
pct_anteiso.alkanes	n33.i33	0.577198225	0.713009572
Methyl_Index	n33.i33	0.983431672	0.998784708
n.alkane_CPI	n33.i33	0.121879758	0.241459897
n.alkane_ACL	n33.i33	0.477278259	0.629840027
anteiso_CPI	n33.i33	0.302043053	0.491834328
anteiso_ACL	n33.i33	0.739510601	0.80883972
iso_CPI	n33.i33	0.602141454	0.735172706
iso_ACL	n33.i33	0.6340166	0.765192448
eps13C_i.C31	n33.i33	0.104035839	0.214191434
eps13C_n.C31	n33.i33	2.78E-05	8.84E-05
eps13C_i.C33	n33.i33	0.701538091	0.804249807
eps13C_n.C33	n33.i33	4.97E-06	1.63E-05
n31.i31	n33.i33	0	0
n33.i33	n33.i33	NA	NA
