"X1" "X2" "value" "BH"
"108" "Methyl_Index" "iso_CPI" 8.95974965331447e-08 3.48434708740007e-07
"109" "n.alkane_CPI" "iso_CPI" 0.223140509781385 0.390495892117423
"110" "n.alkane_ACL" "iso_CPI" 9.24945391167498e-07 3.34894020939956e-06
"111" "anteiso_CPI" "iso_CPI" 2.94982457171855e-06 1.03243860010149e-05
"112" "anteiso_ACL" "iso_CPI" 0.0385008759796692 0.0878824343014189
"113" "iso_CPI" "iso_CPI" NA NA
"114" "iso_ACL" "iso_CPI" 3.86549507958023e-08 1.56106532059971e-07
"115" "eps13C_i.C31" "iso_CPI" 0.393216805941999 0.571151615203946
"116" "eps13C_n.C31" "iso_CPI" 0.564192751766933 0.705240939708666
"117" "eps13C_i.C33" "iso_CPI" 0.534903243611261 0.67668482625521
"118" "eps13C_n.C33" "iso_CPI" 0.786639325153319 0.848316783558844
"119" "n31.i31" "iso_CPI" 0.69363265904209 0.80424980671282
"120" "n33.i33" "iso_CPI" 0.602141454313317 0.735172705847654
"121" "pct_iso.alkanes" "iso_ACL" 3.12519765621744e-08 1.31258301561132e-07
"122" "pct_anteiso.alkanes" "iso_ACL" 1.85673698638311e-12 1.14680813864839e-11
"123" "Methyl_Index" "iso_ACL" 5.30686605770825e-14 4.28631489276435e-13
"124" "n.alkane_CPI" "iso_ACL" 0.0418300665235491 0.0934501486164396
"125" "n.alkane_ACL" "iso_ACL" 0 0
"126" "anteiso_CPI" "iso_ACL" 1.87962370112871e-08 8.2233536924381e-08
"127" "anteiso_ACL" "iso_ACL" 1.56543666918196e-11 7.82718334590982e-11
"128" "iso_CPI" "iso_ACL" 3.86549507958023e-08 1.56106532059971e-07
"129" "iso_ACL" "iso_ACL" NA NA
"130" "eps13C_i.C31" "iso_ACL" 0.791762331321588 0.848316783558844
"131" "eps13C_n.C31" "iso_ACL" 0.73756438140771 0.808839719822286
"132" "eps13C_i.C33" "iso_ACL" 0.709971727985041 0.80424980671282
"133" "eps13C_n.C33" "iso_ACL" 0.925910081893085 0.962579788106673
"134" "n31.i31" "iso_ACL" 0.466362509446156 0.629840026755617
"135" "n33.i33" "iso_ACL" 0.634016599692652 0.765192447904925
"136" "pct_iso.alkanes" "eps13C_i.C31" 0.0525684266227731 0.114993433237316
"137" "pct_anteiso.alkanes" "eps13C_i.C31" 0.397086361046553 0.571151615203946
"138" "Methyl_Index" "eps13C_i.C31" 0.294262993249589 0.491834328042128
"139" "n.alkane_CPI" "eps13C_i.C31" 0.20495015303411 0.372552603233967
"140" "n.alkane_ACL" "eps13C_i.C31" 0.459158221634502 0.629840026755617
"141" "anteiso_CPI" "eps13C_i.C31" 0.47595475732234 0.629840026755617
"142" "anteiso_ACL" "eps13C_i.C31" 0.719995065057192 0.80424980671282
"143" "iso_CPI" "eps13C_i.C31" 0.393216805941999 0.571151615203946
"144" "iso_ACL" "eps13C_i.C31" 0.791762331321588 0.848316783558844
"145" "eps13C_i.C31" "eps13C_i.C31" NA NA
"146" "eps13C_n.C31" "eps13C_i.C31" 0 0
"147" "eps13C_i.C33" "eps13C_i.C31" 0 0
"148" "eps13C_n.C33" "eps13C_i.C31" 0 0
"149" "n31.i31" "eps13C_i.C31" 0.00195591086003155 0.00540449053429771
"150" "n33.i33" "eps13C_i.C31" 0.10403583936666 0.214191433990182
"151" "pct_iso.alkanes" "eps13C_n.C31" 0.0819442115598701 0.172082844275727
"152" "pct_anteiso.alkanes" "eps13C_n.C31" 0.344581328460742 0.524362891135912
"153" "Methyl_Index" "eps13C_n.C31" 0.301005522718054 0.491834328042128
"154" "n.alkane_CPI" "eps13C_n.C31" 0.209339081817181 0.372552603233967
"155" "n.alkane_ACL" "eps13C_n.C31" 0.488536647439108 0.633288246680325
"156" "anteiso_CPI" "eps13C_n.C31" 0.177889510909854 0.33960724810063
"157" "anteiso_ACL" "eps13C_n.C31" 0.998784707721669 0.998784707721669
"158" "iso_CPI" "eps13C_n.C31" 0.564192751766933 0.705240939708666
"159" "iso_ACL" "eps13C_n.C31" 0.73756438140771 0.808839719822286
"160" "eps13C_i.C31" "eps13C_n.C31" 0 0
"161" "eps13C_n.C31" "eps13C_n.C31" NA NA
"162" "eps13C_i.C33" "eps13C_n.C31" 0 0
"163" "eps13C_n.C33" "eps13C_n.C31" 0 0
"164" "n31.i31" "eps13C_n.C31" 2.88657986402541e-14 2.52575738102223e-13
"165" "n33.i33" "eps13C_n.C31" 2.77900411724818e-05 8.84228582760786e-05
"166" "pct_iso.alkanes" "eps13C_i.C33" 0.0645730592769662 0.138370841307785
"167" "pct_anteiso.alkanes" "eps13C_i.C33" 0.341687517144069 0.524362891135912
"168" "Methyl_Index" "eps13C_i.C33" 0.31308466346074 0.498089237323905
"169" "n.alkane_CPI" "eps13C_i.C33" 0.479878115623327 0.629840026755617
"170" "n.alkane_ACL" "eps13C_i.C33" 0.450352127564803 0.629840026755617
"171" "anteiso_CPI" "eps13C_i.C33" 0.327649117495465 0.513479960254087
"172" "anteiso_ACL" "eps13C_i.C33" 0.831222772374788 0.872783910993527
"173" "iso_CPI" "eps13C_i.C33" 0.534903243611261 0.67668482625521
"174" "iso_ACL" "eps13C_i.C33" 0.709971727985041 0.80424980671282
"175" "eps13C_i.C31" "eps13C_i.C33" 0 0
"176" "eps13C_n.C31" "eps13C_i.C33" 0 0
"177" "eps13C_i.C33" "eps13C_i.C33" NA NA
"178" "eps13C_n.C33" "eps13C_i.C33" 0 0
"179" "n31.i31" "eps13C_i.C33" 0.000149127475195243 0.000434955135986126
"180" "n33.i33" "eps13C_i.C33" 0.701538091138192 0.80424980671282
"181" "pct_iso.alkanes" "eps13C_n.C33" 0.121528536596759 0.241459897079514
"182" "pct_anteiso.alkanes" "eps13C_n.C33" 0.517077661462386 0.662111639677445
"183" "Methyl_Index" "eps13C_n.C33" 0.457491361452107 0.629840026755617
"184" "n.alkane_CPI" "eps13C_n.C33" 0.304468869740365 0.491834328042128
"185" "n.alkane_ACL" "eps13C_n.C33" 0.395626317235248 0.571151615203946
"186" "anteiso_CPI" "eps13C_n.C33" 0.204228235670566 0.372552603233967
"187" "anteiso_ACL" "eps13C_n.C33" 0.994976322625868 0.998784707721669
"188" "iso_CPI" "eps13C_n.C33" 0.786639325153319 0.848316783558844
"189" "iso_ACL" "eps13C_n.C33" 0.925910081893085 0.962579788106673
"190" "eps13C_i.C31" "eps13C_n.C33" 0 0
"191" "eps13C_n.C31" "eps13C_n.C33" 0 0
"192" "eps13C_i.C33" "eps13C_n.C33" 0 0
"193" "eps13C_n.C33" "eps13C_n.C33" NA NA
"194" "n31.i31" "eps13C_n.C33" 3.61510821278443e-12 2.10881312412425e-11
"195" "n33.i33" "eps13C_n.C33" 4.96708662089951e-06 1.62982529748265e-05
"196" "pct_iso.alkanes" "n31.i31" 0.696361421101486 0.80424980671282
"197" "pct_anteiso.alkanes" "n31.i31" 0.660993589652933 0.788685533108613
"198" "Methyl_Index" "n31.i31" 0.718501532602881 0.80424980671282
"199" "n.alkane_CPI" "n31.i31" 0.275217045103136 0.473734257964415
"200" "n.alkane_ACL" "n31.i31" 0.973417905033481 0.998784707721669
"201" "anteiso_CPI" "n31.i31" 0.0374493901870179 0.087381910436375
"202" "anteiso_ACL" "n31.i31" 0.812257069105492 0.8614847702634
"203" "iso_CPI" "n31.i31" 0.69363265904209 0.80424980671282
"204" "iso_ACL" "n31.i31" 0.466362509446156 0.629840026755617
"205" "eps13C_i.C31" "n31.i31" 0.00195591086003155 0.00540449053429771
"206" "eps13C_n.C31" "n31.i31" 2.88657986402541e-14 2.52575738102223e-13
"207" "eps13C_i.C33" "n31.i31" 0.000149127475195243 0.000434955135986126
"208" "eps13C_n.C33" "n31.i31" 3.61510821278443e-12 2.10881312412425e-11
"209" "n31.i31" "n31.i31" NA NA
"210" "n33.i33" "n31.i31" 0 0
"211" "pct_iso.alkanes" "n33.i33" 0.351036534177255 0.526554801265883
"212" "pct_anteiso.alkanes" "n33.i33" 0.577198225033877 0.713009572100672
"213" "Methyl_Index" "n33.i33" 0.983431671516542 0.998784707721669
"214" "n.alkane_CPI" "n33.i33" 0.121879757573469 0.241459897079514
"215" "n.alkane_ACL" "n33.i33" 0.47727825944368 0.629840026755617
"216" "anteiso_CPI" "n33.i33" 0.302043053417183 0.491834328042128
"217" "anteiso_ACL" "n33.i33" 0.739510600980376 0.808839719822286
"218" "iso_CPI" "n33.i33" 0.602141454313317 0.735172705847654
"219" "iso_ACL" "n33.i33" 0.634016599692652 0.765192447904925
"220" "eps13C_i.C31" "n33.i33" 0.10403583936666 0.214191433990182
"221" "eps13C_n.C31" "n33.i33" 2.77900411724818e-05 8.84228582760786e-05
"222" "eps13C_i.C33" "n33.i33" 0.701538091138192 0.80424980671282
"223" "eps13C_n.C33" "n33.i33" 4.96708662089951e-06 1.62982529748265e-05
"224" "n31.i31" "n33.i33" 0 0
"225" "n33.i33" "n33.i33" NA NA
